,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.020298177533032948,0.2975562575836662,0.31133958423765973,0.017317716389285413,0.04538687177842171,0.42148426696364205,0.17053329754394833,0.46199968022484045,0.04976801973757035
1,KNN,0.026710678517170662,0.19965464684925027,0.203797541884005,0.016855427991851128,0.07826733437319461,0.257187135139346,0.18111095196261656,0.037109499304880215,0.060051348940739505
2,KthNN,0.026510165500443703,0.19600724981256856,0.20392916202117456,0.016811211018753373,0.07608446810153072,0.2445423751875049,0.17539154278347627,0.0367566187178123,0.057220861624957105
3,LOF,0.034926118277670906,0.23371564360722397,0.07858991415372943,0.016967863543504137,0.0597213226046544,0.03259378369724431,0.17104521287191513,0.041140038113891955,0.08702764877397885
4,CBLOF,0.0007968873799193094,0.15889182922447073,0.4030551847108796,0.020016846681504486,0.04099417308337027,0.0717516940367627,0.08652856898150867,0.03382200047538831,0.04674953119774194
5,uCBLOF,0.024185153068314577,0.18398028355034035,0.20452454453574248,0.016750411581087178,0.07210562558772492,0.12230907476067748,0.17208279889431713,0.037442085243915395,0.046174449196521423
6,LOoP,0.02024249807302626,0.22605914072623207,0.09486008908060611,0.01722736651516788,0.06835268129903888,0.03644172575910105,0.17355974762315188,0.04942969735565938,0.08558272538806111
7,LDCOF,0.0007437314067148321,0.1818853970569533,0.06496550324675325,0.0081426909654905,0.21600411255411253,0.17895894758774358,0.1743638801674516,0.0752304711543842,0.07974850237554226
8,HBOS,0.014164046907493972,0.22368904247963145,0.18106565455636664,0.015983475056167037,0.036409132459126345,0.9198958366092873,0.17971310547764374,0.5715045261246636,0.10446451655817302
9,OCSVM,0.09169378746695844,0.2050072002480612,0.13657557877255871,0.34543133598236125,0.09081620164832838,0.15055354661253612,0.06740269373009888,0.014878126933011881,0.05488062895093021
10,Nu-OCSVM,0.09172059999377094,0.2041397139218559,0.13703079435014576,0.5081521739130435,0.0909478264030584,0.15696302831243936,0.07914800725409528,0.015686249882294445,0.05488062895093021
